title_or_outcome_id,Description,User range,Rating_points_1,Rating_title_1,Rating_description_1,Rating_points_2,Rating_title_2,Rating_description_2,Rating_points_3,Rating_title_3,Rating_description_3,Rating_points_4,Rating_title_4,Rating_description_4,Rating_points_5,Rating_title_5,Rating_description_5
Audience & Usability,"Works for a general, non-expert audience by making the issue clear, relevant, and easy to use.",FALSE,5,Exceeds Expectations,"Highly usable for a public audience. Explains what the issue is, why it matters, and what readers can do in clear, engaging ways.",4,Meets Expectations,"Usable for a general audience. Makes the issue clear and relevant in mostly accessible, reader-focused ways.",3,Almost There,"Generally understandable, but some sections are uneven, too dense, or not clearly focused on audience needs.",2,Needs Work,"Difficult for a general audience to follow, apply, or see as relevant.",1,Missing,"Does not function as a fact sheet for the intended non-expert audience."
Content Selection & Focus,"Selects and emphasizes the most important facts, practical relevance, and key takeaways from the longer report.",FALSE,5,Exceeds Expectations,"Selects highly relevant, well-prioritized content and presents key ideas with strong focus and purpose.",4,Meets Expectations,"Includes the most important information and keeps the focus clear for readers.",3,Almost There,"Includes generally relevant information, but some material is underdeveloped, overly broad, or not well prioritized.",2,Needs Work,"Uses unfocused, overloaded, or insufficient content that makes the document less effective.",1,Missing,"Lacks clear, relevant, or sufficient content for the purpose of the fact sheet."
Visual Design & Data Communication,"Uses layout, visuals, and data displays to improve understanding. Includes the required visuals and integrates them effectively.",FALSE,5,Exceeds Expectations,"Uses highly effective visuals and layout to clarify meaning, guide attention, and strengthen usability. Visuals are expertly integrated and labeled.",4,Meets Expectations,"Uses appropriate visuals and layout to support understanding. Includes required visuals with captions and references in the text.",3,Almost There,"Uses visuals that generally relate to the content, but one or more may be unclear, weakly integrated, or uneven in design.",2,Needs Work,"Uses weak, confusing, poorly integrated, or poorly labeled visuals and/or layout choices that reduce readability.",1,Missing,"Does not include the required visuals or uses visuals/layout that do not support meaning."
Structure & Required Components,"Includes all required fact sheet components and follows the assignment requirements for length, sections, and documentation.",FALSE,5,Exceeds Expectations,"Includes all required components and follows the assignment requirements precisely, with strong control of structure and document conventions.",4,Meets Expectations,"Includes the required components and follows the assignment requirements for structure, length, and documentation.",3,Almost There,"Meets most requirements, but one element is weak, missing, or unevenly executed.",2,Needs Work,"Misses multiple required elements and/or does not follow important assignment requirements.",1,Missing,"Does not meet the basic structural requirements for the fact sheet."
Clarity & Plain Language,"Uses plain language, short sentences, helpful tone, and accessible explanations for non-expert readers.",FALSE,5,Exceeds Expectations,"Uses exceptionally clear, concise, audience-appropriate language throughout. Complex ideas are easy to understand.",4,Meets Expectations,"Uses clear, readable plain language and explains ideas in accessible ways for non-expert readers.",3,Almost There,"Is generally understandable, but occasionally uses wordy, technical, vague, or less accessible phrasing.",2,Needs Work,"Uses language that is frequently unclear, overly technical, too formal, or difficult for the intended audience.",1,Missing,"Is not understandable for the intended non-expert audience."
